	accession	url	title	projectDescription	species	tissues	ptms	instrumentNames	projectTags	experimentTypes	quantificationMethods	keywords	dataProcessingProtocol	submissionDate	references
1167	PXD009023	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009023	NanoLC-MSMS TMT comparison of in vitro cultured/native reticulocytes and erythrocytes	Triplicate samples of donor-matched native reticulocytes (CD71+ cells), erythrocytes (CD71- cells) and in vitro culture-derived reticulocytes (derived from CD34+ cells) were analysed through TMT-based quantitative proteomics to examine possible protein abundance changes underlying reticulocyte maturation.	"[""Homo sapiens (Human)""]"	"[""cell culture"",""reticulocyte"",""erythrocyte""]"	"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""Orbitrap Fusion""]"	"[""Biological""]"	"[""Shotgun proteomics""]"	"[""TMT""]"	Human, nanoLC-MSMS, reticulocyte, erythrocyte, erythropoiesis	The raw data files were processed and quantified using Proteome Discoverer software v2.1 (Thermo Scientific) and searched against the UniProt Human database (134,169 entries) using the SEQUEST algorithm.  Peptide precursor mass tolerance was set at 10ppm, and MS/MS tolerance was set at 0.6Da.  Search criteria included oxidation of methionine (+15.9949) as a variable modification and carbamidomethylation of cysteine (+57.0214) and the addition of the TMT mass tag (+229.163) to peptide N-termini and lysine as fixed modifications. Searches were performed with full tryptic digestion and a maximum of 1 missed cleavage was allowed.  The reverse database search option was enabled and all peptide data was filtered to satisfy false discovery rate (FDR) of 5%.	2018-02-23	"[[""DOI:10.3324/haematol.2018.199083"",""PMID:30076174""]]"
1169	PXD001468	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001468	A mass-tolerant database search identifies a large proportion of unassigned spectra in shotgun proteomics as modified peptides	Less than half of all MS/MS spectra acquired in shotgun proteomics typically result in a confident peptide match.  Here we present an ultra-tolerant Sequest database search that allowed peptide matching even with modifications of unknown masses up to ±500 Da. From an HEK293 cell proteome-wide dataset (9,513 proteins and 396,736 peptides), a ±500-Da search matched an additional 184,000 modified peptides. These were linked to both biological and chemical modifications representing 523 distinct mass bins including phosphorylation, glycosylation, and methylation.  We attempted to localize all unknown modification masses to specific regions within a peptide, and known modifications were accurately assigned to the correct amino acids with frequencies often >90%.  These data demonstrate that a large fraction of previously unassignable spectra are assignable to peptide sequences with modifications.	"[""Homo sapiens (Human)""]"	"[""kidney"",""brain""]"	"[{""ptm"":""formylated residue"",""UNIMOD"":""122""},{""ptm"":""carboxylated residue"",""UNIMOD"":""299""},{""ptm"":""homoserine lactone"",""UNIMOD"":""11#M""},{""ptm"":""S-pyridylethyl-L-cysteine"",""UNIMOD"":""31#C""},{""ptm"":""deaminated residue"",""UNIMOD"":""385""},{""ptm"":""monomethylated residue"",""UNIMOD"":""34""},{""ptm"":""amidated residue"",""UNIMOD"":""36#R""},{""ptm"":""deamidated residue"",""UNIMOD"":""7""},{""ptm"":""methylthiolated residue"",""UNIMOD"":""39""},{""ptm"":""(R)-5-oxo-1,4-tetrahydrothiazine-3-carboxylic acid"",""UNIMOD"":""26#C""},{""ptm"":""iodoacetic acid derivatized residue"",""UNIMOD"":""6""},{""ptm"":""farnesylated residue"",""UNIMOD"":""44""},{""ptm"":""biotinylated residue"",""UNIMOD"":""6""},{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""phosphorylated residue"",""UNIMOD"":""21""},{""ptm"":""dehydrated residue"",""UNIMOD"":""23""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""dihydroxylated residue"",""UNIMOD"":""425""},{""ptm"":""monosodium salt"",""UNIMOD"":""30""},{""ptm"":""sulfated residue"",""UNIMOD"":""40""},{""ptm"":""carbamoylated residue"",""UNIMOD"":""5""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""},{""ptm"":""homoserine"",""UNIMOD"":""10#M""}]"	"[""Q Exactive""]"	"[""Technical"",""Biomedical""]"	"[""Shotgun proteomics""]"	"[""Peptide counting""]"	Proteomics, Sequest, Large scale, modifications	Database Searching   Software tools were used to convert mass spectrometric data from raw file to the mzxml format 22.  Erroneous charge state and monoisotopic m/z values were corrected as per previous publication 22. MS/MS spectra assignments were made with the Sequest algorithm 3  using indexed Ensembl databases (Mouse: Mus_musculus NCBIM37.61, Human: Homo_sapiens GRCh37.61). Databases were prepared with forward and reversed sequences concatenated according to the target-decoy strategy 41.  All searches were performed using a static modification for cysteine alkylation (57.02146 Da).   Closed Searches.  Closed searches were performed with Sequest (Rev28) using indexed databases with a precursor ion tolerance of 5 ppm.  The fragment ion tolerance was set very narrow (0.01 Da).  Specificity was set based on the protease used (trypsin for HEK293 studies and Lys-C for mouse studies) and allowing 1 missed cleavage.  Oxidized methionine was considered dynamically (+15.994915 Da).  Sequest matches were filtered by linear discriminant analysis as described previously 22  to a dataset level error of 1% FDR at the protein level (~0.2% peptide level) based on matches to reversed sequences 41.  Open Searches.  Open searches were performed with Sequest exactly as for Closed searches with the following changes.  The precursor ion tolerance was set to 500 Da unless otherwise specified.  The GUI (graphical user interface) in Proteome Discoverer 2.0 (soon to be released) will allow Open searches to be conducted.  Oxidized methionine was not considered as a dynamic modification.  Post-search filtering via linear discriminant analysis did not use mass accuracy (ppm) as a feature for differentiating true and false positives.  These searches often considered more than 1000 fold greater peptide search spaces.  However, the time penalty for this increase does not scale linearly for Sequest and was ~10 fold.  Open searches for each 3-hr analysis considered on average 44,390 MS/MS spectra and finished in less than two hours on a standard 6-core CPU with 6MB RAM.  Note that using the pre-indexed database option is essential to achieving reasonable search times.   Guassian fit analysis Mass shifts were clustered using Gaussian mixture models using the mclust package for R Core 52-54. Mass shifts were binned in to 1 Da windows bounded at each half Da point. Within each bin, the number of mass shifts annotated in UniMod 55  falling within that bin were used to set the maximum number of Gaussian mixtures in the model, and the mixture models allowing for variable mixture variances were fitted within that window. An optimal number of mixture components was calculated by the software using BIC, and the model for that number of components was used. Fitted mixture components with a variance greater than 0.01 were then removed from the data set.  Ascore The Ascore algorithm 40  uses the cumulative binomial probability distribution to provide a localization score for a mass difference (phosphorylation, +79.9663) to a serine, threonine, or tyrosine.  We modified the Ascore algorithm to allow for the localization of any modification mass to any potential site within the peptide.  Because sufficient information was not always present to localize to a specific site, scores were calculated for individual sites as well as regions.  An Ascore value of >20 (p<0.01) was used as a threshold significance value for assigning modifications to an amino acid or region within a peptide. Supplementary table 2 contains the Ascore, Ascore sequence (potential location of modification), Ascore region (amino acids in which the score is identical) and the number of amino acids considered in the region. In addition, a modification could not be localized if the number of ions matched for a peptide does not increase when the modification is considered throughout the sequence.	2014-11-06	"[[""DOI:10.1038/nbt.3267"",""PMID:26076430""]]"
1172	PXD000815	https://www.ebi.ac.uk/pride/ws/archive/project/PXD000815	Breast cancer tumors -  System-wide Clinical Proteomics of Breast Cancer Reveals Global Remodeling of Tissue Homeostasis	The project analyzed 88 breast cancer clinical samples, including lymph node negative and positive primary tumors, lymph node metastases, and healthy tissue as control. All samples were combined with a super-SILAC mix that served as an internal standard for quantification.	"[""Homo sapiens (Human)""]"	"[""breast invasive ductal carcinoma cell""]"	"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"	"[""SILAC""]"	breast cance, ER positive, luminal, lymph node negative, lymph node positive	Raw files were analyzed with MaxQuant version 1.5.0.36. The Andromeda search engine was used for database search against the Human Uniprot database. Variable modifications were methionine oxidation and N-terminal acetylation. Fixed modification was carbamidomethyl cysteine. The forward/decoy approach was utilized to determine 1% FDR on the peptide and protein levels.	2015-06-01	"[[""DOI:10.1016/j.cels.2016.02.001"",""PMID:27135363""]]"
1173	PXD000561	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD000561	A draft map of the human proteome	The availability of human genome sequence has transformed biomedical research over the past decade. However, an equivalent map for the human proteome with direct measurements of proteins and peptides does not exist yet. Here, we report a draft map of the human proteome based on high resolution Fourier transform mass spectrometry-based proteomics technology. In-depth proteomic profiling of 30 histologically normal human samples including 17 adult tissues, 7 fetal tissues and 6 purified primary hematopoietic cells resulted in identification of proteins encoded by greater than 17,000 genes accounting for ~84% of the total annotated protein-coding genes in humans. This large human proteome catalog (available as an interactive web-based resource at http://www.humanproteomemap.org) will complement available human genome and transcriptome data to accelerate biomedical research in health and disease. The authors request that those considering use of this dataset for commercial purposes contact pandey@jhmi.edu.	"[""Homo sapiens (Human)""]"	"[""prostate gland"",""gut"",""testis"",""helper T-lymphocyte"",""kidney"",""retina"",""pancreas"",""adrenal gland"",""spinal cord"",""natural killer cell"",""cytotoxic T-lymphocyte"",""liver"",""urinary bladder"",""gall bladder"",""brain"",""heart"",""lung"",""ovary"",""blood platelet"",""frontal lobe"",""B-lymphocyte"",""colon"",""placenta"",""monocyte"",""rectum"",""esophagus""]"		"[""LTQ Orbitrap Velos"",""LTQ Orbitrap Elite""]"		"[""Bottom-up proteomics""]"		human proteome map, LC-MS/MS, proteogenomics	Mass spectrometry data obtained from all LC-MS analysis were searched against Human RefSeq50 database (containing 33,833 entries along with common contaminants) using Sequest and Mascot (version 2.2) search algorithms through Proteome Discoverer 1.3 (Thermo Scientific, Bremen, Germany). Enzyme specificity was set as trypsin with maximum one missed cleavage allowed. The minimum peptide length was specified to be 6 amino acids. Carbamidomethylation of cysteine was specified as fixed modification and oxidation of methionine, acetylation of protein N-termini and cyclization of N-terminal glutamine were included as variable modifications. The mass error of parent ions was set to 10 ppm and 0.05 Da for fragment ions. The data was also searched against a decoy database and MS/MS identifications of < 1% false discovery rate (FDR) score threshold was considered for further analysis. To enable identification of novel peptides and correction of existing gene annotations in the human genome, six alternative databases namely- 1) six frame translated genome database 2) three frame translated RefSeq mRNA sequences from NCBI 3) three frame translated pseudogene database with sequences derived from sequences from NCBI and Gerstein’s pseudogenes 4) three frame translated non coding RNAs from NONCODE and 5) N-terminal UTR database of RefSeq mRNA sequences from NCBI were used. Unmatched MS/MS spectra peaklist files were extracted from the protein database search result and searched against these databases using X!Tandem search engine A decoy database was created for each database by reversing the sequences from a target database. Following parameters were common to all searches - 1) Precursor mass error set at 10 ppm, 2) Fragment mass error set at 0.05 Da, 3) carbamidomethylation of cysteine was defined as fixed modification, 4) Oxidation of methionine was defined as variable modification. 5) Only tryptic peptides with up to 2 missed cleavages were considered. The sequences of common contaminants including trypsin used as protease were appended to the database engine installed locally.	2014-02-25	"[[""DOI:null"",""PMID:24669763""],[""PMID:24870542"",""DOI:10.1038/nature13302""]]"
1952	PXD014300	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD014300	Chr18 Consortium MS-data for missing proteins mining	Despite direct or indirect efforts of proteomic community, the fraction of blind spots on the protein map is still significant. Almost 10% (?) of human master protein has no experimental validation up to now. Apparently, proteomics has reached the stage where all easy scores are achieved (?), and every next identification requires more intension and curiosity in expansion of unusual types of biomaterial and/or conditions. In this article we discuss the current state of missing proteins search conducted by eclectic Russian Consortium in frame of C-HPP. We accumulated various data, obtained by Russian Proteomic Consortium.	"[""Homo sapiens (Human)""]"	"[""cervicovaginal fluid"",""CACO-2 cell"",""cardiomyocyte cell line"",""blood plasma"",""cell culture"",""HeLa cell"",""adipocyte"",""placenta"",""brain"",""HepG2 cell""]"		"[""LTQ Orbitrap Elite"",""Q Exactive""]"	"[""Chromosome-centric Human Proteome Project (C-HPP)"",""Human Proteome Project""]"	"[""Shotgun proteomics""]"		Human Proteome, Missing proteins, Uncertain proteins, neXtProt, Proteotypic peptide, Mass-spectrometry, Chromosome-Centric Human Proteome Project (С-HPP)	Data files obtained after data-dependent shotgun LC-MS/MS analysis were converted in peak list format and used for proteins identification.  The search was conducted using SearchGUI version 2.3.1711. Protein identification was conducted against a concatenated target/decoy neXtProt database (neXtProt, rel. 2019-01-01). All common contaminants were included into the database. The decoy sequences were created by reversing the target sequences in SearchGUI. The identification settings were as follows: trypsin as a specific protease, with a maximum of 1 missed cleavages, ±5 ppm as MS1 level and ±0.05 Da as MS2 level tolerances; variable modifications: oxidation of M (+15.994915 u), deamination of N (+0.984016 u), deamination of Q (+0.984016 u), carbamidomethylation of C (+57.021464 u). Peptides and proteins were inferred from the spectrum identification results using Peptide Shaker version 1.16.15 13. Peptide Spectrum Matches (PSMs), peptides and proteins were validated at a 1.0% false discovery rate (FDR) estimated using the decoy hit distribution.	2019-06-19	"[[""PMID:32456206"",""DOI:10.3390/proteomes8020012""]]"
1953	PXD012574	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD012574	Proteomic and Genomic Signatures of Repeat-instability in Cancer and Adjacent Normal Tissues	Repetitive sequences are hotspots of evolution at multiple levels. However, due to technical difficulties involved in their assembly and analysis, the role of repeats in tumor evolution is poorly understood. We developed a rigorous motif-based methodology to quantify variations in the repeat content of proteomes and genomes, directly from proteomic and genomic raw sequence data, and applied it to analyze a wide range of tumors and normal tissues. We identify high similarity between the repeat-instability in tumors and their patient-matched normal tissues, but also tumor-specific signatures, both in protein expression and in the genome, that strongly correlate with cancer progression and robustly predict the tumorigenic state. In a patient, the hierarchy of genomic repeat instability signatures accurately reconstructs tumor evolution, with primary tumors differentiated from metastases. We find an inverse relationship between repeat-instability and point mutation load, within and across patients, and independently of other somatic aberrations. Thus, repeat-instability is a distinct, transient and compensatory adaptive mechanism in tumor evolution.	"[""Homo sapiens (Human)""]"	"[""ovary""]"		"[""Q Exactive HF""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"	"[""TMT""]"	Repeat-instability, tumor evolution, proteomic signatures,	Raw MS files were analyzed in the MaxQuant software (version 1.5.6.9 ) and Andromeda search engine .  The proteomic raw data included ~27K identified peptides. The intensity of each peptide wi was taken as the measured normalized TMT intensity ratio in each sample, relative to a reference.	2019-01-31	"[[""DOI:10.1073/pnas.1908790116"",""PMID:31387980""]]"
1955	PXD015377	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD015377	Global PhosphoTyrosinylated Protein Profile of Cell-Matrix Adhesion Complexes of Trabecular Meshwork Cells	Identification of Tyrosine phosphorylated proteins in the ECM enriched fraction isolated from Human TM cells. Bottom up LC-MS/MS analysis of pY antibody enriched peptides from mouse ECM.	"[""Homo sapiens (Human)""]"			"[""Q Exactive""]"		"[""Shotgun proteomics""]"		phosphoproteomcis, ECM membrane	Raw LC-MS/MS data files were processed in Mascot distiller (Matrix Science) and then submitted to independent Mascot database searches (Matrix Science) against SwissProt (mouse taxonomy) containing both forward and reverse entries of each protein. Search tolerances were 5 ppm for precursor ions and 0.8 Da for product ions using trypsin specificity with up to two missed cleavages. Carbamidomethylation (+57.0214 Da on C) was set as a fixed modification, whereas oxidation (+15.9949 Da on M) and Phosphorylation (+79.98 Da on STY) were considered variable modifications. All searched spectra were imported into Scaffold (Proteome Software) and protein confidence thresholds were set using a Bayesian statistical algorithm based on the PeptideProphet and ProteinProphet algorithms which yielded a peptide and protein false discovery rate of 1%.	2019-09-09	"[[""DOI:10.1152/ajpcell.00537.2019"",""PMID:32432933""]]"
1956	PXD015523	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD015523	PDZD8 interacts with Protrudin and Rab7 to form an ER-late endosome membrane contact site that recruits mitochondria	Endosomes regulate a plethora of cellular processes including signaling, nutrient status and organelle quality control by controlling the fate of material entering the cells. Endosomes undergo a process of maturation which specifies whether material will be shuttled back to the cell surface or degraded by the lysosome. Nevertheless, a complete inventory of factors regulating endosomal maturation is still lacking. Recently, membrane contact sites (MCSs) between the endoplasmic reticulum (ER) and endosomes have emerged as important players in endosomal sorting, dynamics and motility. Here, we identify the ER transmembrane protein PDZD8 as a new Rab7 effector that, together with the MCS component Protrudin, forms an ER-late endosome MCS. At these ER-late endosome MCSs, PDZD8 also recruits mitochondria to form a three-way contact. Our data suggest that the PDZD8/Protrudin-Rab7 MCS functions to facilitate an early stage of late endosome maturation.	"[""Homo sapiens (Human)""]"	"[""colon""]"		"[""Q Exactive Plus""]"		"[""Shotgun proteomics""]"	"[""Label free""]"	Human, LS-MS/MS, Q Exactive Plus	Raw MS files were analyzed with MaxQuant version 1.5.6.9 and the Andromeda search engine. MS/MS spectra were searched against the UniprotKB database.Database results were filtered to keep a maximal FDR of 0.01 on both the peptide and the protein levels.  All statistical tests and calculations were done using the Perseus software on the label free quantification (LFQ) intensity values after log2 transformation. Data analysis was performed for each pull down separately after filtering for valid values in at least 2 samples of the pull down group. Data were imputed based on the assumption that missing values indicate low abundance; missing values were replaced with random values that create a Gaussian distribution with a downshift of 1.6 or 1.7 standard deviations and a width of 0.4 of the original distribution. To identify potential interactors one sided Student t-test was performed between the control and each pull down with permutation-based FDR q value < 0.05 and S0=0.1	2019-09-20	"[[""DOI:10.1038/s41467-020-17451-7"",""PMID:32686675""]]"
1957	PXD018894	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD018894	CALCOCO1 acts with VAMP-Associated Proteins to mediate ER-phagy	To explore the interaction partners of CALCOCO1, we immunoprecipitated EGFP-CALCOCO1 from HEK 293 cells’ lysate and identified the bound proteins by mass spectrometry. The identified proteins were then filtered against GFP control.	"[""Homo sapiens (Human)""]"			"[""Q Exactive""]"		"[""Affinity purification coupled with mass spectrometry proteomics""]"		Autophagy, CALCOCO1, ER-phagy, VAPA, VAPB, FFAT motif, Golgi	The raw data was analyzed using Proteome Discoverer 2.2.	2020-04-29	
1960	PXD003539	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD003539	NCI60 proteome by PCT-SWATH -  Quantitative Proteome Landscape of the NCI-60 Cancer Cell Lines	We obtained quantitative analysis of the NCI-60 cell panels using pressure cycling technology (PCT) and SWATH-MS. Each cell was analyzed in duplicate. The data were analyzed using a cell line SWATH assay library and OpenSWATH, followed by SWATH-expert refinement.	"[""Homo sapiens (Human)""]"	"[""whole body""]"		"[""TripleTOF 5600""]"	"[""Technical"",""Biological""]"	"[""SWATH MS""]"	"[""Label free""]"	NCI-60 cell; PCT; SWATH; breast cancer; luekemia; colon cancer; melanoma; ovarian cancer; brain tumor; renal cancer; lung cancer; prostate cancer; drug sensitivity;	The SWATH data were first analyzed using OpenSWATH with a SWATH assay library built from cell lines, containing 86,209 proteotypic peptide precursors in 8,056 proteotypic SwissProt proteins. Then the results were refined using SWATH-expert (manuscript in preparation)	2016-01-28	"[[""DOI:10.1016/j.isci.2019.10.059"",""PMID:31733513""]]"
1961	PXD018625	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD018625	Comparison non-targeting hRNA hESCs versus UBE2K shRNA hESCs	Histones modulate gene expression by chromatin compaction, regulating numerous processes such as differentiation. However, the mechanisms underlying histone degradation remain elusive. When compared with their differentiated counterparts, immortal human embryonic stem cells (hESCs) have a unique chromatin architecture and low levels of trimethylated histone H3 at lysine 9 (H3K9me3), a heterochromatin-associated modification. Here we assess a link between the intrinsic epigenetic landscape and ubiquitin-proteasome system of hESCs. We find that hESCs exhibit high expression of UBE2K, a ubiquitin-conjugating enzyme. Loss of UBE2K increases the levels of H3K9 trimethyltransferase SETDB1, resulting in H3K9 trimethylation and repression of neurogenic genes during differentiation. Concomitantly, loss of UBE2K impairs the ability of hESCs to differentiate into neural progenitors with neurogenic properties. Besides H3K9 trimethylation, we find that UBE2K binds histone H3 to induce its polyubiquitination and degradation by the proteasome. Notably, ubc-20, the worm orthologue of UBE2K, also regulates both histone H3 levels and H3K9 trimethylation in C. elegans germline. Thus, our results indicate that UBE2K crosses evolutionary boundaries to promote histone H3 degradation and reduce H3K9me3 repressive marks in immortal cells.	"[""Homo sapiens (Human)""]"	"[""embryo""]"		"[""Q Exactive HF""]"		"[""Shotgun proteomics""]"		hESCs, histones, ubiquitin proteasome system	We analysed all label-free proteomics data sets with MaxQuant software (release 1.5.3.8). We used the LFQ mode and used MaxQuant default settings for protein identification and LFQ quantification. Once we obtained LFQ values, we performed all downstream analyses with Perseus (v. 1.5.2.4).	2020-04-17	"[[""DOI:10.1038/s42003-020-0984-3"",""PMID:32451438""]]"
1963	PXD015049	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD015049	Proteomic landscape of atypical antipsychotics clinical response in blood  plasma from schizophrenia patients	Antipsychotics are the main line of treatment for schizophrenia, despite being  effective only in about 50% of patients. Additionally, serious side effects may  cause medication drop-out, aggravated by a lack of understanding about how  these drugs act at molecular level. As proteomics is a suitable tool for  studying multifactorial disorders, the main goal was to unravel signaling  pathways in blood plasma associated with a positive treatment outcome for the  atypical antipsychotics olanzapine and risperidone. Blood plasma was collected  from schizophrenia patients six weeks after treatment (T6), and patients were  classified as good or poor responders to olanzapine or risperidone, and then  samples were compared to each patient's baseline (T0). All samples were  analyzed using label-free quantitative shotgun proteomics. Samples were  depleted of the 14 most abundant proteins in plasma, were digested, and then  submitted to M-Class two-dimensional nano-liquid chromatography, coupled online  to a Synapt G2-Si mass spectrometer. Data was obtained in MSE mode (data- independent acquisition) in combination with ion-mobility (HDMSE). The proteins  found to be differentially abundant in good responders compared to poor  responders for risperidone and olanzapine were functionally analyzed in silico  using Ingenuity® Pathway Analysis and were found to be mostly involved with  immune system functions. This data can contribute to better understand the  biochemical signaling peripherally triggered by antipsychotic medication, and  can eventually be used to help improve treatment outcome by predicting patient  response as well as through the development of new medication or a combination  of drugs that act on the immune system to reduce the duration of poor response  periods in patients suffering with schizophrenia.	"[""Homo sapiens (Human)""]"	"[""blood plasma""]"		"[""Synapt MS""]"		"[""Shotgun proteomics""]"	"[""Peptide counting""]"	schizophrenia, proteomics, blood plasma, mass spectrometry, antipsychotics,  risperidone, olanzapine	Proteins were identified using dedicated algorithms and were searched against  the UniProt reviewed human proteomic database (January 2019; 20,402 entries).  For spectral processing and database searching, we used the Progenesis QI for  Proteomics (QIP) software package with Apex3D, Peptide 3D, and Ion Accounting  Informatics (Waters). Progenesis QIP starts with LC-MS data loading, 150 counts  marked the low-energy threshold, 50.0 counts for the elevated energy threshold,  and 750 counts for the intensity threshold. Then alignment and peak detection  were performed, which creates a list of peptide ions of interest (hereafter  referred to as simply peptides) that are explored within Peptide Ion Stats by  multivariate statistical methods. The final step determines protein identity  with an ion-accounting algorithm within Progenesis QIP (Li et al., 2009) The  following parameters were considered to identify peptides: 1) Digestion by  trypsin with at most two missed cleavages; 2) variable oxidation (M) and fixed  modification by carbamidomethyl (C); 3) false discovery rate (FDR) less than 1%  across all conditions, calculated by a reverse database created on-the-fly by  Progenesis QIP; 4) a mass error of less than 20 ppm. Identifications that did  not satisfy these criteria were rejected. Also, as a default parameter, protein  grouping was applied, which hides proteins whose peptides are a subset of other  proteins. Keratins were removed from our data	2019-08-16	"[[""DOI:10.1016/j.jprot.2020.103813"",""PMID:32464195""]]"
1964	PXD017213	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD017213	Urinary proteomics in youths with and without type 1 diabetes	Diabetic kidney disease is the leading cause of end-stage renal disease worldwide. Our understanding of the early kidney response to chronic hyperglycemia remains incomplete. In this study, we aimed to uncover the early, dysregulated pathways in the diabetic kidney before the onset of microalbuminuria by analysing the urinary proteomes of otherwise healthy youths with and without type 1 diabetes. Our study population included two cohorts for the discovery (N = 30) and validation (N = 30) of differentially excreted proteins. Of the 2451 proteins identified, 576 were quantified in all samples from the discovery cohort, and 34 comprised the urinary signature for early type 1 diabetes after Benjamini-Hochberg adjustment (Q < 0.05). The top pathways associated with this signature included lysosome, glycosaminoglycan degradation, and innate immune system (Q < 0.01). Notably, all enzymes involved in keratan sulfate degradation were significantly elevated in urines from youths with type 1 diabetes (fold change > 1.6). Increased urinary excretion of monocyte differentiation antigen CD14, hexosaminidase A, and lumican was also observed in the validation cohort (P < 0.05). Our findings draw attention to novel pathways such as keratan sulfate degradation in the early kidney response to hyperglycemia.	"[""Homo sapiens (Human)""]"	"[""kidney""]"		"[""Q Exactive""]"		"[""Shotgun proteomics""]"		urine, proteomics, type 1 diabetes	Raw data were analyzed by MaxQuant software (version 1.5.3.8) and were searched against the human Uniprot FASTA database (version July 2016) using the built-in Andromeda search engine. The false discovery rate was set to 1% using a revert database for both proteins and peptides with a minimum length of six amino acids. The digestion mode was specific for trypsin/P with a maximum of 2 missed cleavages. Cysteine carbamidomethylation was selected as a fixed modification; while methionine oxidation, proline oxidation, and N-terminal acetylation as variable modifications. Potential contaminants were allowed in the search and manually removed post hoc. The initial peptide tolerance was set to 20 ppm against a small ‘human-first-search’ database. The main search peptide mass tolerance was 4.5 ppm, and the fragment mass MS/MS tolerance was set to 0.5 Da. Matching between runs was selected. Stabilized label-free quantification (LFQ) of proteins derived from extracted ion current information from razor and unique peptides with a minimum ratio count of 2.  The fast LFQ option was selected.	2020-01-27	"[[""PMID:32453760"",""DOI:10.1371/journal.pone.0233639""]]"
1965	PXD018226	https://www.ebi.ac.uk:443/pride/ws/archive/project/PXD018226	Determination of a tumor-promoting microenvironment in recurrent medulloblastoma: a multi-omics study of cerebrospinal fluid	Molecular characterization of medulloblastoma (MB) cell origin and properties is the basis for a well-defined classification system. However, limited data is available regarding the MB tumor microenvironment. Here we present a mass spectrometry-based multi-omics study of cerebrospinal fluid (CSF) from recurrent MB patients. A group of age-matched patients without a neoplastic disease was used as control cohort. Proteome profiling identified several characteristic tumor markers and revealed a strong prevalence of anti-inflammatory and tumor-promoting proteins characteristic for alternatively polarized myeloid cells in MB samples. The up-regulation of ADAMTS1, GAP43 and GPR37 indicated hypoxia in CSF of MB patients. This notion was independently supported by metabolomics, demonstrating up-regulation of tryptophan, methionine, serine and lysine, all of which have been described to be induced upon hypoxia in CSF. The beta-oxidation promoting lipid hormone 12,13-DiHOME was found strongly upregulated, potentially promoting a metabolic shift supporting drug resistance and stem cell properties of MB cells.	"[""Homo sapiens (Human)""]"	"[""cerebrospinal fluid""]"		"[""Q Exactive""]"		"[""Shotgun proteomics""]"		12,13-DiHOME, cerebrospinal fluid, eicosanoids, high performance liquid chromatography, hypoxia, lipidomics, mass spectrometry, medulloblastoma, metabolomics, multi-omics, polarized macrophages, proteomics	Proteome Discoverer 2.2 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification searching against the SwissProt Database (version 01/2018 with 20 258 entries) allowing a mass tolerance of 50ppm for MS spectra and 100mmu for MS/MS spectra, a FDR < 0.01 and a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	2020-03-27	"[[""DOI:10.3390/cancers12061350"",""PMID:32466393""]]"
