,assay_id,project_id,filename,cell_id,cell_line,disease,treatment,tissue_type,sub_cell,organ_id,PXD_accession,all_PSM,sign_PSM,peptides,proteins
1083,31947,1847,OE07585,594,SHSY5Y,neuroblastoma,ethanol,brain,/,,PXD014381,8749,0,0,0
1084,31950,1847,OE07588,594,SHSY5Y,neuroblastoma,ethanol,brain,/,,PXD014381,19078,0,0,0
1085,31953,1847,OE07591,594,SHSY5Y,neuroblastoma,ethanol,brain,/,,PXD014381,5067,0,0,0
1086,31902,1847,OE05111,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,14843,0,0,0
1087,31903,1847,OE05112,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,15576,0,0,0
1088,31904,1847,OE05113,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,16119,0,0,0
1089,31905,1847,OE05114,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,18087,0,0,0
1090,31906,1847,OE05115,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,19120,0,0,0
1091,31912,1847,OE05121,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,16745,0,0,0
1092,31913,1847,OE05123,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,20262,0,0,0
1093,31914,1847,OE05124,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,18847,0,0,0
1094,31915,1847,OE05125,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,18977,0,0,0
1095,31916,1847,OE05126,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,18951,0,0,0
1096,31922,1847,OE05133,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,17155,0,0,0
1097,31923,1847,OE05134,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,14333,0,0,0
1098,31924,1847,OE05135,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,16533,0,0,0
1099,31925,1847,OE05137,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,15665,0,0,0
1100,31926,1847,OE05138,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,12709,0,0,0
1101,31932,1847,OE05144,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,16626,0,0,0
1102,31933,1847,OE05146,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,13884,0,0,0
1103,31934,1847,OE05149,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,16662,0,0,0
1104,31935,1847,OE05150,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,14836,0,0,0
1105,31936,1847,OE05151,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,13645,0,0,0
1106,31937,1847,OE07575,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,8433,0,0,0
1107,31940,1847,OE07578,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,9992,0,0,0
1108,31943,1847,OE07581,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,9630,0,0,0
1109,31946,1847,OE07584,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,10533,0,0,0
1110,31949,1847,OE07587,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,8268,0,0,0
1111,31952,1847,OE07590,595,SHSY5Y,neuroblastoma,retinoic acid,brain,/,,PXD014381,8233,0,0,0
1112,31683,1835,OT_180130_HeLa_DTT_CAA_Met2_Rep_1,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,27587,0,0,0
1113,31684,1835,OT_180130_HeLa_DTT_CAA_Met2_Rep_2,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,58285,0,0,0
1114,31685,1835,OT_180130_HeLa_DTT_CAA_Met2_Rep_3,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,31751,0,0,0
1115,31686,1835,OT_180130_HeLa_DTT_IAA_Met1_Rep_1,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,37520,0,0,0
1116,31687,1835,OT_180130_HeLa_DTT_IAA_Met1_Rep_2,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,23091,0,0,0
1117,31688,1835,OT_180130_HeLa_DTT_IAA_Met1_Rep_3,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,21823,0,0,0
1118,31689,1835,OT_180130_HeLa_TCEP_CAA_70oC_ABC_4h_Met5_Rep_1,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,22224,0,0,0
1119,31690,1835,OT_180130_HeLa_TCEP_CAA_70oC_ABC_4h_Met5_Rep_2,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,22505,0,0,0
1120,31691,1835,OT_180130_HeLa_TCEP_CAA_70oC_ABC_4h_Met5_Rep_3,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,20232,0,0,0
1121,31692,1835,OT_180130_HeLa_TCEP_CAA_70oC_ABC_Met4_Rep_1,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,30669,0,0,0
1122,31693,1835,OT_180130_HeLa_TCEP_CAA_70oC_ABC_Met4_Rep_2,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,29956,0,0,0
1123,31694,1835,OT_180130_HeLa_TCEP_CAA_70oC_ABC_Met4_Rep_3,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,28394,0,0,0
1124,31695,1835,OT_180130_HeLa_TCEP_CAA_70oC_HEPES_4h_Met6_Rep_1,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,29204,0,0,0
1125,31696,1835,OT_180130_HeLa_TCEP_CAA_70oC_HEPES_4h_Met6_Rep_2,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,31517,0,0,0
1126,31697,1835,OT_180130_HeLa_TCEP_CAA_70oC_HEPES_4h_Met6_Rep_3,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,31559,0,0,0
1127,31698,1835,OT_180130_HeLa_TCEP_CAA_Standard_Met3_Rep_1,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,28379,0,0,0
1128,31699,1835,OT_180130_HeLa_TCEP_CAA_Standard_Met3_Rep_2,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,28154,0,0,0
1129,31700,1835,OT_180130_HeLa_TCEP_CAA_Standard_Met3_Rep_3,578,HeLa,adenocarcinoma,/,cervix,/,,PXD009600,29165,0,0,0
1130,32355,1863,20160107_QEp7_IgPa_MA_Easy12_3_HeLa_01,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004182,366223,61048,19501,2861
1131,32356,1863,20160114_QEp7_IgPa_MA_Easy12_3_HeLa_02,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004182,373880,61946,19334,2770
1132,32357,1863,20160117_QEp7_IgPa_MA_Easy12_3_HeLa_03,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004182,368707,60470,19300,2937
1133,32358,1863,20160127_QEp7_IgPa_MA_Easy12_3_HeLa_04,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004182,374947,60655,19492,2975
1134,32374,1865,151019_Q_Hela_02_01_1ug_50cm_CID_FT_EasySpray_90min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004940,174117,25088,8510,2102
1135,32375,1865,151019_Q_Hela_02_02_1ug_50cm_CID_FT_EasySpray_90min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004940,172098,24797,8496,2075
1136,32376,1865,151019_Q_Hela_02_03_1ug_50cm_CID_FT_EasySpray_90min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004940,169727,24382,8213,2041
1137,32377,1865,151019_Q_Hela_03_01_1ug_50cm_HCD_FT_EasySpray_90min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004940,175820,27086,9170,2023
1138,32378,1865,151019_Q_Hela_03_02_1ug_50cm_HCD_FT_EasySpray_90min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004940,178865,28100,9473,2075
1139,32379,1865,151019_Q_Hela_03_03_1ug_50cm_HCD_FT_EasySpray_90min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004940,179416,28263,9546,2088
1140,32416,1866,20131226_HeLa_bRP01_120min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD001441,66543,8081,2780,1182
1141,32417,1866,20131226_HeLa_bRP02_120min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD001441,110701,15606,5138,1735
1142,32418,1866,20131226_HeLa_bRP03_120min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD001441,110751,17137,5605,1809
1143,32419,1866,20131226_HeLa_bRP04_120min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD001441,103226,17130,5467,1762
1144,32420,1866,20131226_HeLa_bRP05_120min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD001441,97369,16902,5562,1733
1145,32421,1866,20131226_HeLa_bRP06_120min,578,HeLa,adenocarcinoma,/,cervix,/,,PXD001441,93235,15885,5124,1626
1146,32482,1868,20120227_MT_01,578,HeLa,adenocarcinoma,/,cervix,/,,PXD003530,76080,14023,3950,956
1147,32487,1868,20120302_MT_DMSO_load_2uL_4h_G6,578,HeLa,adenocarcinoma,/,cervix,/,,PXD003530,185179,30523,9026,1490
1148,32490,1868,20120306_MT_DMSO_load_2h_G6,578,HeLa,adenocarcinoma,/,cervix,/,,PXD003530,89830,13911,4074,991
1149,32483,1868,20120227_MT_02,621,HeLa,adenocarcinoma,aspirin,cervix,/,,PXD003530,75047,13831,3926,949
1150,32484,1868,20120227_MT_03,621,HeLa,adenocarcinoma,aspirin,cervix,/,,PXD003530,77654,14427,4088,962
1151,32485,1868,20120302_MT_AspD0_load_2uL_4h_G6,621,HeLa,adenocarcinoma,aspirin,cervix,/,,PXD003530,179791,29606,8669,1468
1152,32486,1868,20120302_MT_AspD3_load_2uL_4h_G6,621,HeLa,adenocarcinoma,aspirin,cervix,/,,PXD003530,189333,31528,9170,1501
1153,32488,1868,20120306_MT_AspD0_load_2h_G6,621,HeLa,adenocarcinoma,aspirin,cervix,/,,PXD003530,106417,17108,5027,1168
1154,32489,1868,20120306_MT_AspD3_load_2h_G6,621,HeLa,adenocarcinoma,aspirin,cervix,/,,PXD003530,113610,18300,5371,1229
1155,32494,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_01,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,203005,31285,10345,1901
1156,32495,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_02,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,200430,30926,10162,1856
1157,32496,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_03,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,200918,30539,10223,1963
1158,32497,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_04,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,194383,29263,9773,1913
1159,32498,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_05,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,223068,34891,11563,2043
1160,32499,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_06,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,224417,34761,11557,2035
1161,32500,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_07,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,191869,29612,9583,1626
1162,32501,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_08,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,185908,28601,9336,1599
1163,32502,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_09,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,194064,29820,9788,1814
1164,32503,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_10,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,193726,29755,9739,1807
1165,32504,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_11,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,202406,30709,10110,1829
1166,32505,1869,20141012_QE6+_LC5_CY_SA_PierceHeLa_12,578,HeLa,adenocarcinoma,/,cervix,/,,PXD006112,203574,31019,10255,1874
1167,32491,1869,20140919_QE6+_LC5_CY_SA_IsoAsp_40min_12mix_01,620,/,/,/,/,/,,PXD006112,11127,2260,1273,14
1168,32492,1869,20140919_QE6+_LC5_CY_SA_IsoAsp_40min_12mix_02,620,/,/,/,/,/,,PXD006112,10435,1873,803,7
1169,32493,1869,20140919_QE6+_LC5_CY_SA_IsoAsp_40min_12mix_05,620,/,/,/,/,/,,PXD006112,9552,1822,549,13
1170,32546,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_1,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,4057,582,225,96
1171,32547,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_10,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,36479,5634,2247,740
1172,32548,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_11,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,29596,4448,1645,649
1173,32549,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_12,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,36865,5806,1997,724
1174,32550,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_13,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,35976,5660,2081,757
1175,32551,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_14,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,40493,6387,2492,839
1176,32552,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_15,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,41981,6720,2554,941
1177,32553,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_16,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,40646,6623,2605,937
1178,32554,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_17,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,38281,6367,2260,854
1179,32555,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_18,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,44064,7386,2639,978
1180,32556,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_19,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,45718,7844,2993,1067
1181,32557,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_2,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,1548,531,190,74
1182,32558,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_20,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,43102,7282,2645,1029
1183,32559,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_21,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,43770,7523,2896,1117
1184,32560,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_22,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,36872,6319,2242,994
1185,32561,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_23,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,41109,7065,2699,1069
1186,32562,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_24,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,44463,8220,3191,1138
1187,32563,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_25,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,43595,7850,2991,1164
1188,32564,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_26,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,44274,8002,3042,1235
1189,32565,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_27,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,47616,8613,3326,1261
1190,32566,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_28,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,47558,8593,3285,1244
1191,32567,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_29,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,50059,9209,3574,1258
1192,32568,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_3,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,21339,3758,1495,396
1193,32569,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_30,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,48728,8808,3181,1185
1194,32570,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_31,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,56605,10168,3690,1371
1195,32571,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_32,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,47885,8164,2870,1249
1196,32572,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_33,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,55225,10248,3646,1392
1197,32573,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_34,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,59081,10535,3745,1363
1198,32574,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_35,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,59536,10672,3970,1493
1199,32575,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_36,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,55714,9639,3430,1263
1200,32576,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_37,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,61721,11424,3989,1488
1201,32577,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_38,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,63201,11293,3977,1400
1202,32578,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_39,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,63559,11874,4164,1532
1203,32579,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_4,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,19020,2952,1136,411
1204,32580,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_40,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,61064,11533,4084,1509
1205,32581,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_41,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,66248,12471,4527,1576
1206,32582,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_42,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,63405,11869,4057,1480
1207,32583,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_43,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,66583,12526,4460,1508
1208,32584,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_44,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,67716,12686,4601,1586
1209,32585,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_45,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,70538,13398,4712,1641
1210,32586,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_46,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,69781,13640,4769,1610
1211,32587,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_47,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,63699,12258,4189,1557
1212,32588,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_48,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,69265,13268,4344,1569
1213,32589,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_49,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,74509,14055,4691,1633
1214,32590,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_5,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,28659,4698,1769,601
1215,32591,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_50,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,72620,14047,4794,1669
1216,32592,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_51,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,79453,15487,5173,1652
1217,32593,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_52,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,77906,14808,5062,1659
1218,32594,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_53,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,72635,14074,4761,1577
1219,32595,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_54,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,77395,15013,5373,1719
1220,32596,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_55,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,75242,14203,5051,1637
1221,32597,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_56,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,75258,14296,4894,1576
1222,32598,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_57,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,76966,14798,5133,1646
1223,32599,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_58,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,79650,15288,5224,1683
1224,32600,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_59,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,68923,13357,4814,1554
1225,32601,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_6,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,35629,5618,2449,682
1226,32602,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_60,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,77900,15050,5495,1698
1227,32603,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_61,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,79715,15361,5387,1624
1228,32604,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_62_150118230431,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,67638,12532,4578,1380
1229,32605,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_63,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,70020,13126,4443,1320
1230,32606,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_64,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,62815,11770,3904,1194
1231,32607,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_65,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,67112,12816,4501,1444
1232,32608,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_66,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,66524,12409,4510,1368
1233,32609,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_67,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,52498,9626,3397,1159
1234,32610,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_68,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,74207,14596,4935,1535
1235,32611,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_69,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,76717,14317,4976,1605
1236,32612,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_7,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,34014,5122,2011,641
1237,32613,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_70,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,85287,15122,4988,1482
1238,32614,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_8,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,31659,4939,1931,638
1239,32615,1871,20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_9,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,32657,4941,1906,639
1240,32616,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_1,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,34119,6000,1901,680
1241,32617,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_10,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,40122,6182,2380,860
1242,32618,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_11,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,40588,7020,2677,922
1243,32619,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_12,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,43204,7407,2606,962
1244,32620,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_13,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,48517,8083,2890,1039
1245,32621,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_14,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,49162,8472,3163,1075
1246,32622,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_15,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,49440,8293,3245,1060
1247,32623,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_16,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,54858,9454,3715,1150
1248,32624,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_17,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,56736,9885,3676,1176
1249,32625,1871,20150410_QE3_UPLC9_DBJ_SA_46fractions_Rep1_18,578,HeLa,adenocarcinoma,/,cervix,/,,PXD004452,57739,9930,3797,1233
